Film   |Year   |Awards    |Nominations
Winnie the Pooh and the Blustery Day    |1968    |1   |1
Planet of the Apes  |1968    |0     |2
In the Heat of the Night    |1967    |5   |7
Camelot |1967    |3   |5
Bonnie and Clyde    1967    |2   |1|0
Guess Who's Coming to Dinner    1967    |2   |1|0
Doctor Dolittle |1967    |2   |9
The Graduate    |1967    |1   |7
Thoroughly Modern Millie    |1967    |1   |7
Cool Hand Luke  |1967    |1   |4
The Dirty Dozen |1967    |1   |4
A Place to Stand    |1967    |1   |2
The Anderson Platoon (La Section Anderson)  |1967    |1   |1
The Box |1967    |1   |1
Closely Watched Trains (Ostre sledované vlaky)  |1967    |1   |1
The Redwoods    |1967    |1   |1
A Man for All Seasons   |1966    |6   |8
Who's Afraid of Virginia Woolf? |1966    |5   |13
Grand Prix  |1966    |3   |3
Fantastic Voyage    |1966    |2   |5
A Man and a Woman   |1966    |2   |4
Born Free   |1966    |2   |2
The Fortune Cookie  |1966    |1   |4
A Funny Thing Happened on the Way to the Forum  |1966    |1   |1
A Herb Alpert and the Tijuana Brass Double Feature  |1966    |1   |1
The War Game    |1966    |1   |1
Wild Wings  |1966    |1   |1
A Year Toward Tomorrow  |1966    |1   |1
The Sound of Music  1965    |5   |1|0
Doctor Zhivago  1965    |5   |1|0
Darling |1965    |3   |5
Ship of Fools   |1965    |2   |8
Cat Ballou  |1965    |1   |5
The Great Race  |1965    |1   |5
A Patch of Blue |1965    |1   |5
A Thousand Clowns   |1965    |1   |4
The Shop on Main Street (Obchod na korze)   |1965    |1   |2
The Sandpiper   |1965    |1   |1
The Eleanor Roosevelt Story |1965    |1   |1
To Be Alive!    |1965    |1   |1
7th Heaven  |1927    |3   |5
20,000 Leagues Under the Sea    |1954    |2   |3
Adventures of Don Juan  |1949    |1   |2
The Adventures of Robin Hood    |1938    |3   |4
The African Queen   |1951    |1   |4
Air Force   |1943    |1   |4
The Alamo   |1960    |1   |7
The Alaskan Eskimo  |1953    |1   |1
Albert Schweitzer   |1957    |1   |1
Alexander's Ragtime Band    |1938    |1   |6
All About Eve   |1950    |6   |14
All Quiet on the Western Front  |1929 |2   |4
All That Money Can Buy  |1941    |1   |2
All the King's Men  |1949    |3   |7
Ama Girls   |1958    |1   |1
America America |1963    |1   |4
An American in Paris    |1951    |6   |8
Amphibious Fighters |1943    |1   |1
Anastasia   |1956    |1   |2
Anchors Aweigh  |1945    |1   |5
Anna and the King of Siam   |1946    |2   |5
Annie Get Your Gun  |1950    |1   |4
Anthony Adverse |1936    |4   |7
The Apartment   1960    |5   |1|0
Aquatic House Party |1949    |1   |1
Arise, My Love  |1940    |1   |4
Around the World in 80 Days |1956    |5   |8
The Awful Truth |1937    |1   |6
The Bachelor and the Bobby-Soxer    |1947    |1   |1
The Bad and the Beautiful   |1952    |5   |6
Bad Girl    |1931    |2   |3
The Barefoot Contessa   |1954    |1   |2
The Battle of Midway    |1942    |1   |1
Battleground    |1949    |2   |6
Bear Country    |1953    |1   |1
Becket  1964    |1   |1|2
The Bells of St. Mary's |1945    |1   |8
Ben-Hur 1959    |11  |1|2
Benjy   |1951    |1   |1
The Bespoke Overcoat    |1956    |1   |1
The Best Years of Our Lives |1946    |7     |8
Beyond the Line of Duty |1942    |1   |1
Bicycle Thieves |1949    |0     |1
The Big Broadcast of 1938   |1938    |1   |1
The Big Country |1958    |1   |2
The Big House   |1929    |2   |4
Bill and Coo    |1948    |0     |0
Birds Anonymous |1957    |1   |1
The Bishop's Wife   |1947    |1   |5
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox)    |1962    |1   |1
Black Narcissus |1947    |2   |2
Black Orpheus (Orfeu Negro) |1959    |1   |1
The Black Swan  |1942    |1   |3
Blithe Spirit   |1946    |1   |1
Blood and Sand  |1941    |1   |2
Blood on the Sun    |1945    |1   |1
Blossoms in the Dust    |1941    |1   |4
Body and Soul   |1947    |1   |3
Bored of Education  |1936    |1   |1
Born Yesterday  |1950    |1   |5
A Boy and His Dog   |1946    |1   |1
Boys Town   |1938    |2   |5
The Brave One   |1956    |1   |3
Breakfast at Tiffany's  |1961    |2   |5
Breaking the Sound Barrier  |1952    |1   |2
The Bridge of San Luis Rey  |1928    |1   |1
The Bridge on the River Kwai    |1957    |7   |8
The Bridges at Toko-Ri  |1955    |1   |2
Broadway Melody of 1936 |1935    |1   |3
The Broadway Melody |1928   |1   |3
Broken Lance    |1954    |1   |2
Busy Little Bears   |1939    |1   |1
BUtterfield 8   |1960    |1   |2
Calamity Jane   |1953    |1   |3
Call Me Madam   |1953    |1   |2
Captain Carey, U.S.A.   |1950    |1   |1
Captains Courageous |1937    |1   |4
Casablanca  |1943    |3   |8
Casals Conducts: 1964   |1964    |1   |1
The Cat Concerto    |1946    |1   |1
Cavalcade   |1932    |3   |4
Chagall |1963    |1   |1
The Champ   |1931    |2   |4
Champion    |1949    |1   |6
A Chance to Live    |1949    |1   |1
The Charge of the Light Brigade |1936    |1   |3
The Chicken (Le Poulet) |1965    |1   |1
Churchill's Island  |1941    |1   |1
Cimarron    |1930    |3   |7
The Circus  |1927 |0     |0
Citizen Kane    |1941    |1   |9
City of Wax |1934    |1   |1
Cleopatra   |1934    |1   |5
Cleopatra   |1963    |4   |9
Climbing the Matterhorn |1947    |1   |1
Come and Get It |1936    |1   |2
Come Back, Little Sheba |1952    |1   |3
Coquette    |1928    |1   |1
The Country Cousin  |1936    |1   |1
The Country Girl    |1954    |2   |7
Cover Girl  |1944    |1   |5
The Cowboy and the Lady |1938    |1   |3
Crash Dive  |1943    |1   |1
Crashing the Water Barrier  |1956    |1   |1
The Critic  |1963    |1   |1
La Cucaracha    |1934    |1   |1
Cyrano de Bergerac  |1950    |1   |1
A Damsel in Distress    |1937    |1   |2
Dangerous   |1935    |1   |1
The Dark Angel  |1935    |1   |3
The Dawn Patrol |1930       |1   |1
Day of the Painter  |1960    |1   |1
Daybreak in Udi |1949    |1   |1
Days of Wine and Roses  |1962    |1   |5
December 7th    |1943    |1   |1
Declaration of Independence |1938    |1   |1
The Defiant Ones    |1958    |2   |9
Der Fuehrer's Face  |1942    |1   |1
Desert Victory  |1943    |1   |1
Design for Death    |1947    |1   |1
Designing Woman |1957    |1   |1
Destination Moon    |1950    |1   |2
The Diary of Anne Frank |1959    |3   |8
Disraeli    |1929 |1   |3
The Divine Lady |1928 |1   |3
Divorce Italian Style   |1962    |1   |3
The Divorcee    |1929 |1   |4
Dodsworth   |1936    |1   |7
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics) |1965    |1   |1
A Double Life   |1947    |2   |4
The Dove    |1927    |1   |1
Dr. Jekyll and Mr. Hyde |1931    |1   |3
Dumbo   |1941    |1   |2
Dylan Thomas    |1962    |1   |1
East of Eden    |1955    |1   |4
Easter Parade   |1948    |1   |1
Elmer Gantry    |1960    |3   |5
The Enemy Below |1957    |1   |1
Eskimo  |1934    |1   |1
Exodus  |1960    |1   |3
The Face of Lincoln |1955    |1   |2
Facing Your Danger  |1946    |1   |1
The Facts of Life   |1960    |1   |5
Fantasia    |1940    |0     |0
A Farewell to Arms  |1932    |2   |4
The Farmer's Daughter   |1947    |1   |2
Father Goose    |1964    |1   |3
Federico Fellini's 8½   |1963    |2   |5
Ferdinand the Bull  |1938    |1   |1
The Fighting Lady   |1944    |1   |1
First Steps |1947    |1   |1
Flowers and Trees   |1931    |1   |1
Folies Bergere  |1935    |1   |1
For Scent-imental Reasons   |1949    |1   |1
For Whom the Bell Tolls |1943    |1   |9
Forbidden Games |1952    |0     |1
A Force in Readiness    |1961    |0     |0
A Free Soul |1930       |1   |3
Frenchman's Creek   |1945    |1   |1
From Here to Eternity   |1953    |8   |13
The Garden of Allah |1936    |0     |2
Gaslight    |1944    |2   |7
Gate of Hell (Jigokumon)    |1954    |1     |1
The Gay Divorcee    |1934    |1   |5
Gentleman's Agreement   |1947    |3   |8
Gerald McBoing-Boing    |1950    |1   |1
Giant   1956    |1   |1|0
Gigi    |1958    |9   |9
Giuseppina  |1960    |1   |1
Give Me Liberty |1936    |1   |1
Glass (Glas)    |1959    |1   |1
The Glenn Miller Story  |1954    |1   |3
Going My Way    1944    |7   |1|0
Gold Diggers of 1935    |1935    |1   |2
The Golden Fish (Histoire d'un poisson rouge)   |1959    |1   |1
Goldfinger  |1964    |1   |1
Gone with the Wind  |1939    |8     |13
The Good Earth  |1937    |2   |5
Goodbye, Miss Turlock   |1947    |1   |1
Goodbye, Mr. Chips  |1939    |1   |7
Grand Canyon    |1958    |1   |1
Grand Hotel |1931    |1   |1
Grandad of Races    |1950    |1   |1
The Grapes of Wrath |1940    |2   |7
The Great Caruso    |1951    |1   |3
Great Expectations  |1947    |2   |5
The Great Lie   |1941    |1   |1
The Great McGinty   |1940    |1   |1
The Great Waltz |1938    |1   |3
The Great Ziegfeld  |1936    |3   |7
The Greatest Show on Earth  |1952    |2   |5
Green Dolphin Street    |1947    |1   |4
The Guns of Navarone    |1961    |1   |7
Hamlet  |1948    |4   |7
Happy Anniversary (Heureux Anniversaire)    |1962    |1   |1
Harvey  |1950    |1   |2
The Harvey Girls    |1946    |1   |2
Heavenly Music  |1943    |1   |1
The Heiress |1949    |4   |8
Helen Keller in Her Story (The Unconquered) |1955    |1   |1
Hello, Frisco, Hello    |1943    |1   |2
Henry V |1946    |0     |4
Here Comes Mr. Jordan   |1941    |2   |7
Here Comes the Groom    |1951    |1   |2
The High and the Mighty |1954    |1   |6
High Noon   |1952    |4   |7
Hitler Lives    |1945    |1   |1
A Hole in the Head  |1959    |1   |1
The Hole    |1962    |1   |1
Holiday Inn |1942    |1   |3
The Horse with the Flying Tail  |1960    |1   |1
The House I Live In |1945    |0     |0
The House on 92nd Street    |1945    |1   |1
How Green Was My Valley 1941    |5   |1|0
How the West Was Won    |1963    |3   |8
How to Sleep    |1935    |1   |1
Hud |1963    |3   |7
The Human Comedy    |1943    |1   |5
The Hurricane   |1937    |1   |3
The Hustler |1961    |2   |9
I Want to Live! |1958    |1   |6
I Wanted Wings  |1941    |1   |1
I Won't Play    |1944    |1   |1
I'll Cry Tomorrow   |1955    |1   |4
In Beaver Valley    |1950    |1   |1
In Old Arizona  |1928 |1   |5
In Old Chicago  |1937    |2   |6
In Which We Serve   |1942    |0     |2
The Informer    |1935    |4   |6
Interrupted Melody  |1955    |1   |3
The Invaders    |1942    |1   |3
Irma la Douce   |1963    |1   |3
It Happened One Night   |1934    |5   |5
It's a Mad, Mad, Mad, Mad World |1963    |1   |6
The Jazz Singer |1927    |0     |1
Jezebel |1938    |2   |5
Joan of Arc |1948    |2     |7
Johann Mouse    |1952    |1   |1
Johnny Belinda  1948    |1   |1|2
Johnny Eager    |1942    |1   |1
The Joker Is Wild   |1957    |1   |1
The Jolson Story    |1946    |2   |6
Judgment at Nuremberg   1961    |2   |1|1
Julius Caesar   |1953    |1   |5
Kentucky    |1938    |1   |1
Key Largo   |1948    |1   |1
The King and I  |1956    |5   |9
King of Jazz    |1929 |1   |1
King Solomon's Mines    |1950    |2   |3
Kitty Foyle (Kitty Foyle: The Natural History of a Woman)   |1940    |1   |5
Knighty Knight Bugs |1958    |1   |1
Kokoda Front Line!  |1942    |1   |1
Kon-Tiki    |1950    |1   |1
Krakatoa    |1932    |1   |1
Kukan   |1941    |0     |0
La Strada (The Road)    |1956    |1   |2
La Dolce Vita   |1961    |1   |4
Lady Be Good    |1941    |1   |1
The Last Command    |1927    |1   |2
Laura   |1944    |1   |5
The Lavender Hill Mob   |1952    |1   |2
Lawrence of Arabia  1962    |7   |1|0
Leave Her to Heaven |1945    |1   |4
Lend a Paw  |1941    |1   |1
Les Girls   |1957    |1   |3
A Letter to Three Wives |1949    |2   |3
The Life of Emile Zola  1937    |3   |1|0
Light in the Window |1952    |1   |1
Lili    |1953    |1   |6
Lilies of the Field |1963    |1   |5
The Little Kidnappers (The Kidnappers)  |1954    |0     |0
The Little Orphan   |1948    |1   |1
Little Women    |1932    |1   |3
Little Women    |1949    |1   |2
The Lives of a Bengal Lancer    |1935    |1   |7
The Living Desert   |1953    |1   |1
The Longest Day |1962    |2   |5
Lost Horizon    |1937    |2   |7
The Lost Weekend    |1945    |4   |7
Love Is a Many-Splendored Thing |1955    |3   |8
Love Me or Leave Me |1955    |1   |6
Lust for Life   |1956    |1   |4
Magoo's Puddle Jumper   |1956    |1   |1
Main Street on the March!   |1941    |1   |1
The Man Who Knew Too Much   |1956    |1   |1
Manhattan Melodrama |1934    |1   |1
Marie-Louise    |1945    |1   |1
Marty   |1955    |4   |8
Mary Poppins    |1964    |5   |13
Men Against the Arctic  |1955    |1   |1
The Merry Widow |1934    |1   |1
A Midsummer Night's Dream   |1935    |2   |4
Mighty Joe Young    |1949    |1   |1
Mildred Pierce  |1945    |1   |6
The Milky Way   |1940    |1   |1
Min and Bill    |1930    |1   |1
Miracle on 34th Street  |1947    |3   |4
The Miracle Worker  |1962    |2   |5
Mister Roberts  |1955    |1   |3
Monsieur Vincent    |1948    |0     |0
Moonbird    |1959    |1   |1
The More the Merrier    |1943    |1   |6
Morning Glory   |1932    |1   |1
Moscow Strikes Back |1942    |1   |1
Mother Wore Tights  |1947    |1   |3
Moulin Rouge    |1952    |2   |7
Mouse Trouble   |1944    |1   |1
Mr. Deeds Goes to Town  |1936    |1   |5
Mr. Smith Goes to Washington    1939    |1   |1|1
Mrs. Miniver    1942    |6   |1|2
Munro   |1960    |1   |1
The Music Box   |1931    |1   |1
The Music Man   |1962    |1   |6
Mutiny on the Bounty    |1935    |1   |8
My Fair Lady    1964    |8   |1|2
My Uncle (Mon oncle)    |1958    |1   |1
My Gal Sal  |1942    |1   |2
The Naked City  |1948    |2   |3
National Velvet |1945    |2   |5
Nature's Half Acre  |1951    |1   |1
Naughty Marietta    |1935    |1   |2
Neighbours  |1952    |1   |2
Neptune's Daughter  |1949    |1   |1
Never on Sunday (Pote tin Kyriaki)  |1960    |1   |5
The Night of the Iguana |1964    |1   |4
Nights of Cabiria (Le Notti di Cabiria) |1957    |1   |1
Nine from Little Rock   |1964    |1   |1
None But the Lonely Heart   |1944    |1   |4
North West Mounted Police   |1940    |1   |5
Now, Voyager    |1942    |1   |3
An Occurrence at Owl Creek Bridge   |1963    |1   |1
Of Pups and Puzzles |1941    |1   |1
Oklahoma!   |1955    |2   |4
The Old Man and the Sea |1958    |1   |3
The Old Mill    |1937    |1   |1
On the Town |1949    |1   |1
On the Waterfront   1954    |8   |1|2
One Hundred Men and a Girl  |1937    |1   |5
One Night of Love   |1934    |2   |6
One Way Passage |1932    |1   |1
Overture to The Merry Wives of Windsor  |1953    |1   |1
The Paleface    |1948    |1   |1
Panic in the Streets    |1950    |1   |1
Papa's Delicate Condition   |1963    |1   |1
The Patriot |1928 |1   |5
Penny Wisdom    |1937    |1   |1
Phantom of the Opera    |1943    |2   |4
The Philadelphia Story  |1940    |2   |6
Picnic  |1955    |2   |6
The Picture of Dorian Gray  |1945    |1   |3
Pillow Talk |1959    |1   |5
The Pink Phink  |1964    |1   |1
Pinocchio   |1940    |2   |2
A Place in the Sun  |1951    |6   |9
Plymouth Adventure  |1952    |1   |1
Pollyanna   |1960    |0     |0
Porgy and Bess  |1959    |1   |4
Portrait of Jennie  |1948    |1   |2
Prelude to War  |1942    |1   |1
Pride and Prejudice |1940    |1   |1
The Pride of the Yankees    1942    |1   |1|1
Princess O'Rourke   |1943    |1   |1
The Private Life of Henry VIII  |1932    |1   |2
The Private Life of the Gannets |1937    |1   |1
Project Hope    |1961    |1   |1
The Public Pays |1936    |1   |1
Pygmalion   |1938    |1   |4
Quicker'n a Wink    |1940    |1   |1
The Quiet Man   |1952    |2   |7
Quiet Please!   |1945    |1   |1
The Rains Came  |1939    |1   |6
Rashomon    |1951    |0     |1
The Razor's Edge    |1946    |1   |4
Reap the Wild Wind  |1942    |1   |3
Rebecca 1940    |2   |1|1
The Red Balloon (Le ballon rouge)   |1956    |1   |1
The Red Shoes   |1948    |2   |5
The Robe    |1953    |2   |5
Robert Frost: A Lover's Quarrel with the World  |1963    |1   |1
Roman Holiday   1953    |3   |1|0
Room at the Top |1959    |2   |6
The Rose Tattoo |1955    |3   |8
Sabrina |1954    |1   |6
Samson and Delilah  |1950    |2   |5
Samurai I: Musashi Miyamoto (Miyamoto Musashi)  |1955    |0     |0
San Francisco   |1936    |1   |6
Sayonara    1957    |4   |1|0
The Scoundrel   |1935    |1   |1
The Sea Around Us   |1952    |1   |1
Seal Island |1948    |1   |1
The Search  |1948    |1     |4
Seawards the Great Ships    |1961    |1   |1
The Secret Land |1948    |1   |1
Seeds of Destiny    |1946    |1   |1
Separate Tables |1958    |2   |7
Serengeti Shall Not Die (Serengeti darf nicht sterben)  |1959    |1   |1
Sergeant York   1941    |2   |1|1
Seven Brides for Seven Brothers |1954    |1   |5
Seven Days to Noon  |1951    |1   |1
The Seventh Veil    |1946    |1   |1
Shane   |1953    |1   |6
Shanghai Express    |1931    |1   |3
She Wore a Yellow Ribbon    |1949    |1   |1
Shoeshine (Sciuscià)    |1947    |0     |1
The Silent World (Le Monde du silence)  |1956    |1   |1
The Sin of Madelon Claudet  |1931    |1   |1
Since You Went Away |1944    |1   |9
Skippy  |1930    |1   |4
Sky Above and Mud Beneath (Le Ciel et la boue)  |1961    |1   |1
The Snake Pit   |1948    |1   |6
Snow White and the Seven Dwarfs |1937    |0     |1
So Much for So Little   |1949    |1   |1
So This Is Harris!  |1932    |1   |1
The Solid Gold Cadillac |1956    |1   |2
Some Like It Hot    |1959    |1   |6
Somebody Up There Likes Me  |1956    |2   |3
The Song of Bernadette  1943    |4   |1|2
Song of the South   |1947    |1     |2
Song Without End    |1960    |1   |1
Sons and Lovers |1960    |1   |7
Sons of Liberty |1939    |1   |1
South Pacific   |1958    |1   |3
Spartacus   |1960    |4   |6
Spawn of the North  |1938    |0     |0
Speaking of Animals and Their Families  |1942    |1   |1
Speedy Gonzales |1955    |1   |1
Spellbound  |1945    |1   |6
Splendor in the Grass   |1961    |1   |2
Stagecoach  |1939    |2   |7
Stairway to Light   |1945    |1   |1
Stalag 17   |1953    |1   |3
Star in the Night   |1945    |1   |1
A Star Is Born  |1937    |1   |7
State Fair  |1945    |1   |2
The Story of Louis Pasteur  |1936    |3   |4
The Stratton Story  |1949    |1   |1
Street Angel    |1927    |1   |3
A Streetcar Named Desire    1951    |4   |1|2
Strike Up the Band  |1940    |1   |3
The Substitute  |1961    |1   |1
Sundays and Cybele (Le Dimanches de Ville d'Avray)  |1962    |1   |3
Sunrise |1927    |3   |4
Sunset Boulevard    1950    |3   |1|1
Survival City   |1955    |1   |1
Suspicion   |1941    |1   |3
Sweet Bird of Youth |1962    |1   |3
Sweethearts |1938    |0   |2
Swing Time  |1936    |1   |2
Symphony of a City  |1948    |1   |1
Tabu    |1930       |1   |1
Target for Tonight  |1941    |0   |0
Teddy, the Rough Rider  |1940    |1   |1
Tempest |1927    |1   |1
The Ten Commandments    |1956    |1   |7
That Hamilton Woman |1941    |1   |4
That Mothers Might Live |1938    |1   |1
The Thief of Bagdad |1940    |3   |4
The Third Man   |1950    |1   |3
Thirty Seconds Over Tokyo   |1944    |1   |2
This Above All  |1942    |1   |4
This Is the Army    |1943    |1   |3
This Land Is Mine   |1943    |1   |1
This Mechanical Age |1954    |1   |1
Three Coins in the Fountain |1954    |2   |3
The Three Faces of Eve  |1957    |1   |1
Three Little Pigs   |1932    |1   |1
Three Orphan Kittens    |1935    |1   |1
Through a Glass Darkly (Såsom i en spegel)  |1961    |1   |2
Thunderball |1965    |1   |1
Thursday's Children |1954    |1   |1
The Time Machine    |1960    |1   |1
A Time Out of War   |1954    |1   |1
Tin Pan Alley   |1940    |1   |1
The Titan: Story of Michelangelo    |1950    |1   |1
Titanic |1953    |1   |2
To Catch a Thief    |1955    |1   |3
To Each His Own |1946    |1   |2
To Kill a Mockingbird   |1962    |3   |8
Tom Jones   1963    |4   |1|0
tom thumb   |1958    |1   |1
Toot, Whistle, Plunk and Boom   |1953    |1   |1
Topkapi |1964    |1   |1
The Tortoise and the Hare   |1934    |1   |1
Torture Money   |1937    |1   |1
Toward Independence |1948    |1   |1
Transatlantic   |1931    |1   |1
The Treasure of the Sierra Madre    |1948    |3   |4
A Tree Grows in Brooklyn    |1945    |1   |2
The True Glory  |1945    |1   |1
The True Story of the Civil War |1956    |1   |1
Tweetie Pie |1947    |1   |1
Twelve O'Clock High |1949    |2   |4
Two Arabian Knights |1927    |1   |1
The Two Mouseketeers    |1951    |1   |1
Two Women (La Ciociara) |1961    |1   |1
The Ugly Duckling   |1939    |1   |1
Underworld  |1927    |1   |1
The V.I.P.s |1963    |1   |1
Vacation from Marriage (UK title Perfect Strangers) |1946    |1   |1
Van Gogh    |1949    |1   |1
The Vanishing Prairie   |1954    |1   |1
The Virgin Spring (Jungfrukällan)   |1960    |1   |2
Viva Villa! |1934    |1   |4
Viva Zapata!    |1952    |1   |5
Waikiki Wedding |1937    |1   |2
The Walls of Malapaga   |1950    |0   |0
The War of the Worlds   |1953    |1   |3
Watch on the Rhine  |1943    |1   |4
Water Birds |1952    |1   |1
The Way of All Flesh    |1927    |1   |1
West Side Story 1961    |10  |1|1
The Westerner   |1940    |1   |3
The Wetback Hound   |1957    |1   |1
What Ever Happened to Baby Jane?    |1962    |1   |5
When Tomorrow Comes |1939    |1   |1
When Magoo Flew |1954    |1   |1
When Worlds Collide |1951    |1   |2
White Shadows in the South Seas |1928    |1   |1
White Wilderness    |1958    |1   |2
Who's Who in Animal Land    |1944    |1   |1
Why Korea?  |1950    |1   |1
Wilson  1944    |5   |1|0
Wings   |1927    |2   |2
Wings Over Everest  |1935    |1   |1
With a Song in My Heart |1952    |1   |5
With Byrd at the South Pole |1929    |1   |1
With the Marines at Tarawa  |1944    |1   |1
The Wizard of Oz    |1939    |2   |6
Woman of the Year   |1942    |1   |2
Wonder Man  |1945    |1   |4
The Wonderful World of the Brothers Grimm   |1962    |1   |4
World of Kids   |1951    |1   |1
World Without Sun (Le Monde sans soleil)    |1964    |1   |1
Wrestling Swordfish |1931    |1   |1
Written on the Wind |1956    |1   |3
Wuthering Heights   |1939    |1   |8
Yankee Doodle Dandy |1942    |3   |8
The Yankee Doodle Mouse |1943    |1   |1
The Yearling    |1946    |2   |7
Yesterday, Today and Tomorrow (Ieri, oggi, domani)  |1964    |1   |1
You Can't Take It with You  |1938    |2   |7
Zorba the Greek (Alexis Zorbas) |1964    |3   |7
